INDEX,CARD,CLA1,CLA2,SCA1,SCA2,SCA3,PUR1,PUR2,PUR3,CUL1,CUL2,CUL3,USA1,USA2,USA3,ADD1,ADD2,ADD3,PRICE,Y,Cluster
58,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,8,1
58,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,8,1
60,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,4,0
60,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,5,0
60,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,0
60,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,4,0
60,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,3,0
60,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,2,0
60,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,0,0
60,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,1,0
60,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,6,0
60,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,2,0
60,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,1,0
60,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,4,0
60,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
60,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,2,0
60,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,6,0
60,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,5,0
60,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,1,0
60,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,7,0
63,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,4,1
63,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,5,1
63,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,5,1
63,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,10,1
63,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,4,1
63,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,6,1
63,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,5,1
63,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,8,1
63,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,10,1
63,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,6,1
63,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,8,1
63,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,1,1
63,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,8,1
63,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,4,1
63,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,8,1
63,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,1
63,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,6,1
63,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,5,1
64,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,4,0
64,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,3,0
64,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,4,0
64,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,2,0
64,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,4,0
64,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,2,0
64,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,4,0
64,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,3,0
64,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,4,0
64,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,2,0
64,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,4,0
64,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,3,0
64,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,5,0
64,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,4,0
64,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,5,0
64,16,1,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,4,0
64,17,0,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,3,2,0
64,18,0,1,0,0,1,1,0,0,0,1,0,0,1,0,1,0,0,1,4,0
68,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,2,0,0
68,2,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,3,10,0
68,3,1,0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,1,1,10,0
68,4,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,3,0,0
68,5,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,2,10,0
68,6,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,0,3,10,0
68,7,1,0,1,0,0,0,1,0,0,0,1,0,0,1,1,0,0,2,10,0
68,8,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0,1,2,0,0
68,9,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,2,10,0
68,10,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,3,10,0
68,11,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,1,0,0
68,12,1,0,0,1,0,0,0,1,1,0,0,1,0,0,1,0,0,3,0,0
68,13,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,1,0,0
68,14,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,2,0,0
68,15,0,1,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0
